Msg Name,Msg Type,Msg ID,Msg Send Type,Msg Cycle Time (ms),Msg Length (Byte),Signal Name,Signal Description,Byte Order,Start Byte,Start Bit,Bit Length (Bit),Data Type,Resolution,Offset,Signal Min.Value (phys),Signal Max.Value (phys),Initial Value (Hex)
VCU_SEB_Req,Normal,0xCustomize_Default_7B9,Cycle,20,8,VCU_SEB_Alignment_Enable,SEB Alignment Enable,Motorola LSB,0,0,1,Unsigned,1,0,0,1,0x0
,,,,,,VCU_SEB_Control_Enable,SEB Control Enable,Motorola LSB,0,1,1,Unsigned,1,0,0,1,0x0
,,,,,,VCU_SEB_Control_Mode,SEB Control Mode,Motorola LSB,0,2,1,Unsigned,1,0,0,1,0x0
,,,,,,VCU_SEB_AutoBrake,SEB Auto Brake,Motorola LSB,0,3,1,Unsigned,1,0,0,1,0x0
,,,,,,VCU_SEB_Stroke_Value_Req,VCU Request Stroke Value,Motorola LSB,2,16,16,Unsigned,0.05,-30,-5,27,0x0
,,,,,,VCU_SEB_Pre_Value_Req,VCU Request Pressure Value,Motorola LSB,3,24,8,Unsigned,0.05,0,0,Depends on motor power,0x0
,,,,,,VCU_SEB_RollCnt_Enable,Life Signal Validity,Motorola LSB,6,48,1,Unsigned,1,0,0,1,0x0
,,,,,,VCU_SEB_CheckSum_Enable,Checksum Validity,Motorola LSB,6,49,1,Unsigned,1,0,0,1,0x0
,,,,,,VCU_SEB_RollCnt,Life Signal,Motorola LSB,6,52,4,Unsigned,1,0,0,15,0x0
,,,,,,VCU_SEB_CheckSum,Checksum,Motorola LSB,7,56,8,Unsigned,1,0,0,255,0x0
SEB_Status,Normal,0xCustomize_Default_721,Cycle,10,8,SEB_INF_Alignment_Status,Alignment Info Feedback,Motorola LSB,0,0,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Control_Enable_Status,Control Enable Feedback,Motorola LSB,0,1,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Control_Mode_Status,Control Mode Feedback,Motorola LSB,0,2,2,Unsigned,1,0,0,3,0x0
,,,,,,SEB_AutoBrake_Status,Auto Brake Status Feedback,Motorola LSB,0,4,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Error_Status,"0x0: No fault0x1: Level 1 fault (minor, warning)0x2: Level 2 fault (general, warning)0x3: Level 3 fault (severe, request shutdown)",Motorola LSB,0,6,2,Unsigned,1,0,0,3,0x0
,,,,,,SEB_Stroke_Value,Stroke Value Feedback,Motorola LSB,2,16,16,Unsigned,0.05,-30,-5,27,0x0
,,,,,,SEB_Pressure_Value,Pressure Value Feedback,Motorola LSB,3,24,8,Unsigned,0.05,0,0,5,0x0
,,,,,,SEB_Angle_Value,Angle Feedback,Motorola LSB,5,40,16,Signed,0.5,0,-150,840,0x0
,,,,,,SEB_RollCnt_Enable_Status,Life Signal Status Feedback,Motorola LSB,6,48,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_CheckSum_Enable_Status,Checksum Status Feedback,Motorola LSB,6,49,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_RollCnt_Status,Life Signal Feedback,Motorola LSB,6,52,4,Unsigned,1,0,0,15,0x0
,,,,,,SEB_CheckSum_Status,Checksum Feedback,Motorola LSB,7,56,8,Unsigned,1,0,0,255,0x0
SEB_ErrInfo,Normal,0xCustomize_Default_731,Cycle,100,8,SEB_ECUUnderVolt_Err,Controller Undervoltage_L2,Motorola LSB,0,0,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_ECUOverVolt_Err,Controller Overvoltage_L2,Motorola LSB,0,1,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_CanCom_Err,CAN Communication Fault_L3,Motorola LSB,0,2,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_ECUTemp_Err,Controller Temperature Fault_L3,Motorola LSB,0,3,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Domain drive_SC_Err,Domain Drive Short Circuit Fault_L3,Motorola LSB,0,4,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Domain drive_V_Err,Domain Drive Voltage Fault_L3,Motorola LSB,0,5,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Domain drive_T_Err,Domain Drive Temperature Fault_L3,Motorola LSB,0,6,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_AngleSensor_P O/C_Err,Angle Sensor P Open Circuit Fault_L3,Motorola LSB,0,7,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_AngleSensor_P AF_Err,Angle Sensor P Mainboard Abnormal Fault_L3,Motorola LSB,1,8,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_AngleSensor_S O/C_Err,Angle Sensor S Open Circuit Fault_L3,Motorola LSB,1,9,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_AngleSensor_S AF_Err,Angle Sensor S Sub-board Abnormal Fault_L3,Motorola LSB,1,10,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_NOPreSensor_Err,Unconnected Oil Pressure Sensor Fault_L3,Motorola LSB,1,11,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_SensorUCL_Err,Sensor Plausibility Fault_L3,Motorola LSB,1,13,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Alignment_Err,Alignment Fault_L2,Motorola LSB,1,14,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_AngleOver_Err,Angle Out of Bounds_L2,Motorola LSB,1,15,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Mtr_Stall_Err,Motor Stall Fault_L3,Motorola LSB,2,17,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_MtrD/C_Err,Motor Disconnect Fault_L3,Motorola LSB,2,18,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Oil_Err,Oil Pressure Error Fault_L2,Motorola LSB,2,19,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_InitOil_Err,Initial Oil Pressure Fault_L3,Motorola LSB,2,20,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_SentValue_Err,Send Value Error_L3,Motorola LSB,2,21,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Mtr_No-load_Err,Motor No-load Fault_L3,Motorola LSB,2,22,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_PreSensorOver_Err,Oil Pressure Sensor Overvoltage Fault_L2,Motorola LSB,3,24,1,Unsigned,1,0,0,1,0x0
,,,,,,SEB_Low-Volt Charging_Err,Low Voltage Charging Failure Fault_L2,Motorola LSB,3,25,1,Unsigned,1,0,0,1,0x0
SEB_Version,Normal,0xCustomize_Default_741,Cycle,1000,8,SEB_SW_Version,SEB Software Version,Motorola LSB,0,0,8,Unsigned,0.01,0,0,25.5,0xC8
