Message ID (Hex),Message Name,Sender,Receivers,DLC,Cycle (ms),Signal Name,Byte,Bit,Size,Type,Scale,Range,Unit,Description
0x001,SAFETY_ESTOP_high,Any,"SYS, Host, MTR, DCDC",0,0,(No signals/Opaque),,,,,,,,
0x001,SAFETY_ESTOP_low,Any,"SYS, Host, MTR, DCDC",0,0,(No signals/Opaque),,,,,,,,
0x110,SYS_MODE_CMD_low,SYS,"RT, MTR",1,1000,mode,0,0,8,unsigned,1,"[0, 2]",,
0x120,SYS_THROTTLE_STS_low,MTR,"RT, Host",2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x120,SYS_THROTTLE_STS_high,MTR,"RT, Host",2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x204,RT_DRIVE_CMD_low,RT,"SYS, MTR",5,10,motor_speed_mmps,0,0,32,signed,1,"[-500, 3000]",,
,,,,,,gear,4,0,8,unsigned,1,"[0, 3]",," (Values: 0=N, 1=D, 2=S, 3=R)"
0x206,MTR_MOTOR_FBK_low,MTR,"RT, SYS, Host",4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
0x206,MTR_MOTOR_FBK_high,MTR,"RT, SYS, Host",4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
