Message ID (Hex),Message Name,Sender,Receivers,DLC,Cycle (ms),Signal Name,Byte,Bit,Size,Type,Scale,Range,Unit,Description
0x001,SAFETY_ESTOP_high,Any,"SYS, Host, MTR, DCDC",0,0,(No signals/Opaque),,,,,,,,
0x001,SAFETY_ESTOP_low,Any,"SYS, Host, MTR, DCDC",0,0,(No signals/Opaque),,,,,,,,
0x011,SYS_SAFETY_STS_low,SYS,"RT, Host",3,200,estop_active,0,0,8,unsigned,1,"[0, 1]",,
,,,,,,heartbeat_ok,1,0,8,unsigned,1,"[0, 1]",,
,,,,,,light_left,2,0,1,unsigned,1,"[0, 1]",,
,,,,,,light_right,2,1,1,unsigned,1,"[0, 1]",,
,,,,,,light_brake,2,2,1,unsigned,1,"[0, 1]",,
,,,,,,light_head,2,3,1,unsigned,1,"[0, 1]",,
0x011,SYS_SAFETY_STS_high,SYS,"RT, Host",3,200,estop_active,0,0,8,unsigned,1,"[0, 1]",,
,,,,,,heartbeat_ok,1,0,8,unsigned,1,"[0, 1]",,
,,,,,,light_left,2,0,1,unsigned,1,"[0, 1]",,
,,,,,,light_right,2,1,1,unsigned,1,"[0, 1]",,
,,,,,,light_brake,2,2,1,unsigned,1,"[0, 1]",,
,,,,,,light_head,2,3,1,unsigned,1,"[0, 1]",,
0x111,HMI_MODE_REQ_high,HMI,"SYS, Host",2,1000,req_mode,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=MANUAL, 1=AUTO)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x111,HMI_MODE_REQ_low,HMI,"SYS, Host",2,1000,req_mode,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=MANUAL, 1=AUTO)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x120,SYS_THROTTLE_STS_low,MTR,"RT, Host",2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x120,SYS_THROTTLE_STS_high,MTR,"RT, Host",2,10,speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
0x206,MTR_MOTOR_FBK_low,MTR,"RT, SYS, Host",4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
0x206,MTR_MOTOR_FBK_high,MTR,"RT, SYS, Host",4,20,actual_speed_mmps,0,0,16,signed,1,"[-500, 3000]",,
,,,,,,gear_state,2,0,8,unsigned,1,"[0, 3]",,
,,,,,,fault_flags,3,0,8,unsigned,1,"[0, 255]",,
0x210,RT_STATE_RPT_high,RT,"Host, SYS",6,100,mode,0,0,8,unsigned,1,"[0, 2]",," (Values: 0=MANUAL, 1=AUTO, 2=ESTOP)"
,,,,,,safety_state,1,0,2,unsigned,1,"[0, 2]",,
,,,,,,estop_reason,1,4,4,unsigned,1,"[0, 7]",,
,,,,,,reversing,2,0,1,unsigned,1,"[0, 1]",,
,,,,,,rx_overflow,3,0,8,unsigned,1,"[0, 255]",,
,,,,,,task_health,4,0,8,unsigned,1,"[0, 255]",,
,,,,,,steer_state,5,0,8,unsigned,1,"[0, 5]",,
0x210,RT_STATE_RPT_low,RT,"Host, SYS",6,100,mode,0,0,8,unsigned,1,"[0, 2]",," (Values: 0=MANUAL, 1=AUTO, 2=ESTOP)"
,,,,,,safety_state,1,0,2,unsigned,1,"[0, 2]",,
,,,,,,estop_reason,1,4,4,unsigned,1,"[0, 7]",,
,,,,,,reversing,2,0,1,unsigned,1,"[0, 1]",,
,,,,,,rx_overflow,3,0,8,unsigned,1,"[0, 255]",,
,,,,,,task_health,4,0,8,unsigned,1,"[0, 255]",,
,,,,,,steer_state,5,0,8,unsigned,1,"[0, 5]",,
0x220,RT_PID_RPT_high,RT,Host,6,100,speed_setpoint,0,0,16,signed,1,"[-32768, 32767]",,
,,,,,,speed_measured,2,0,16,signed,1,"[-32768, 32767]",,
,,,,,,pid_output,4,0,16,signed,1,"[-32768, 32767]",,
0x300,HOST_DRIVE_CMD_high,Host,RT,8,10,speed_mmps,0,0,32,signed,1,"[-500, 3000]",,
,,,,,,yaw_rate_mrad_s,4,0,24,signed,1,"[-3000, 3000]",,
,,,,,,gear,7,0,8,unsigned,1,"[0, 3]",," (Values: 0=N, 1=D, 2=S, 3=R)"
0x301,HOST_BRAKE_REQ_high,Host,RT,4,0,brake_pressure_kpa,0,0,32,signed,1,"[0, 20000]",,
0x302,HOST_LIGHT_CMD_high,Host,"RT, SYS",1,0,left_turn,0,0,1,unsigned,1,"[0, 1]",,
,,,,,,right_turn,0,1,1,unsigned,1,"[0, 1]",,
,,,,,,brake_light,0,2,1,unsigned,1,"[0, 1]",,
,,,,,,headlight,0,3,1,unsigned,1,"[0, 1]",,
0x302,HOST_LIGHT_CMD_low,Host,"RT, SYS",1,0,left_turn,0,0,1,unsigned,1,"[0, 1]",,
,,,,,,right_turn,0,1,1,unsigned,1,"[0, 1]",,
,,,,,,brake_light,0,2,1,unsigned,1,"[0, 1]",,
,,,,,,headlight,0,3,1,unsigned,1,"[0, 1]",,
0x310,STEER_DIAG_high,RT,Host,8,100,angle_0_1deg,0,0,16,unsigned,x0.1 + -3000,"[-3000, 3553.5]",,
,,,,,,fault,2,0,8,unsigned,1,"[0, 1]",,
,,,,,,motor_current,3,0,16,unsigned,x0.01,"[0, 655.35]",,
,,,,,,ecu_temp,5,0,16,unsigned,x0.1,"[0, 6553.5]",,
,,,,,,reserved,7,0,8,unsigned,1,"[0, 255]",,
0x311,BRAKE_DIAG_high,RT,Host,8,100,pressure_raw,0,0,16,unsigned,x0.05,"[0, 3276.75]",,
,,,,,,fault,2,0,8,unsigned,1,"[0, 1]",,
,,,,,,motor_current,3,0,16,unsigned,x0.01,"[0, 655.35]",,
,,,,,,ecu_temp,5,0,16,unsigned,x0.1,"[0, 6553.5]",,
,,,,,,reserved,7,0,8,unsigned,1,"[0, 255]",,
0x400,HOST_OBSTACLE_DIST_high,Host,RT,4,100,distance_mm,0,0,32,unsigned,1,"[0, 4.29497e+09]",, (Values: 4294967295=clear)
0x600,SYS_DIAG_RPT_low,SYS,"RT, Host",8,1000,mode,0,0,8,unsigned,1,"[0, 2]",,
,,,,,,brake_engaged,1,0,1,unsigned,1,"[0, 1]",,
,,,,,,brake_fault,1,1,1,unsigned,1,"[0, 1]",,
,,,,,,heartbeat_ok,2,0,1,unsigned,1,"[0, 1]",,
,,,,,,rx_overflow,2,1,6,unsigned,1,"[0, 63]",,
,,,,,,estop_active,3,0,8,unsigned,1,"[0, 1]",,
,,,,,,free_heap_kb,4,0,16,unsigned,1,"[0, 65535]",,
,,,,,,tec,6,0,8,unsigned,1,"[0, 255]",,
,,,,,,rec,7,0,8,unsigned,1,"[0, 255]",,
0x600,SYS_DIAG_RPT_high,SYS,"RT, Host",8,1000,mode,0,0,8,unsigned,1,"[0, 2]",,
,,,,,,brake_engaged,1,0,1,unsigned,1,"[0, 1]",,
,,,,,,brake_fault,1,1,1,unsigned,1,"[0, 1]",,
,,,,,,heartbeat_ok,2,0,1,unsigned,1,"[0, 1]",,
,,,,,,rx_overflow,2,1,6,unsigned,1,"[0, 63]",,
,,,,,,estop_active,3,0,8,unsigned,1,"[0, 1]",,
,,,,,,free_heap_kb,4,0,16,unsigned,1,"[0, 65535]",,
,,,,,,tec,6,0,8,unsigned,1,"[0, 255]",,
,,,,,,rec,7,0,8,unsigned,1,"[0, 255]",,
0x7FC,HOST_HEARTBEAT_high,Host,RT,2,500,alive_ctr,0,0,8,unsigned,1,"[0, 255]",,
,,,,,,health_flags,1,0,8,unsigned,1,"[0, 255]",,
0x7FD,RT_HEARTBEAT_high,RT,"Host, SYS",2,500,alive_ctr,0,0,8,unsigned,1,"[0, 255]",,
,,,,,,health_flags,1,0,8,unsigned,1,"[0, 255]",,
0x7FD,RT_HEARTBEAT_low,RT,"Host, SYS",2,500,alive_ctr,0,0,8,unsigned,1,"[0, 255]",,
,,,,,,health_flags,1,0,8,unsigned,1,"[0, 255]",,
